Ring,Azimuth,NorthWind
1,180,2.8638E-07
1,225,2.8638E-09
1,270,2.8638E-07
1,315,2.86376E-05
1,0,2.043591778
1,45,2.86376E-05
1,90,2.8638E-07
1,135,2.8638E-09
2,180,2.8638E-09
2,202.5,2.8638E-11
2,225,2.86438E-13
2,247.5,2.8638E-11
2,270,2.8638E-09
2,292.5,2.8638E-07
2,315,2.86376E-05
2,337.5,0.00285971
2,0,1.904832442
2,22.5,0.00285971
2,45,2.86376E-05
2,67.5,2.8638E-07
2,90,2.8638E-09
2,112.5,2.8638E-11
2,135,2.86438E-13
2,157.5,2.8638E-11
3,180,2.8638E-11
3,195,2.86438E-13
3,210,2.88658E-15
3,225,0
3,240,2.88658E-15
3,255,2.86438E-13
3,270,2.8638E-11
3,285,2.8638E-09
3,300,2.8638E-07
3,315,2.86376E-05
3,330,0.00285971
3,345,0.251832309
3,0,1.743668381
3,15,0.251832309
3,30,0.00285971
3,45,2.86376E-05
3,60,2.8638E-07
3,75,2.8638E-09
3,90,2.8638E-11
3,105,2.86438E-13
3,120,2.88658E-15
3,135,0
3,150,2.88658E-15
3,165,2.86438E-13
